Description	Accession
EST: zk56a01.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 486792 5', mRNA sequence. (from Genbank)	AA042991_s_at
UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4	AA043021_at
EST: zk48b08.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 486039 5', mRNA sequence. (from Genbank)	AA043111_s_at
Zk48f06.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 486083 5', mRNA sequence. (from Genbank)	AA043157_at
EST: zk48g01.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 486096 5', mRNA sequence. (from Genbank)	AA043160_at
Homo sapiens clone 486790 diphosphoinositol polyphosphate phosphohydrolase mRNA, complete cds	AA043223_at
Ubiquitin-conjugating enzyme E2H (homologous to yeast UBC8)	AA043601_at
EST: zk57b05.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 486897 5', mRNA sequence. (from Genbank)	AA043894_at
EST: zk51a08.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 486326 5', mRNA sequence. (from Genbank)	AA044095_at
EST: zk50h07.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 486301 5', mRNA sequence. (from Genbank)	AA044217_at
Human Chromosome 16 BAC clone CIT987SK-A-635H12	AA044622_at
EST: zk75g11.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 488708 5' similar to PIR:B54857 B54857 transcription factor NF-AT 90K chain - human ;, mRNA sequence. (from Genbank)	AA044715_at
EST: zk73c11.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 488468 5' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	AA044755_s_at
EST: zk74b09.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 488537 5', mRNA sequence. (from Genbank)	AA044781_at
EST: zk74b12.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 488543 5', mRNA sequence. (from Genbank)	AA044784_at
EST: zk74e12.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 488590 5', mRNA sequence. (from Genbank)	AA044842_at
Transcription factor 9 (binds GC-rich sequences)	AA044946_at
EST: zk75a04.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 488622 5', mRNA sequence. (from Genbank)	AA045870_at
EST: zk75c03.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 488644 5', mRNA sequence. (from Genbank)	AA045930_at
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	AA046548_at
EST: zk62g01.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 487440 5', mRNA sequence. (from Genbank)	AA046593_at
EST: zf12d12.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 376727 5', mRNA sequence. (from Genbank)	AA046674_at
EST: zk72a07.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 488340 5' similar to SW:OCX_OXAFO P40149 OXALYL-COA DECARBOXYLASE ;, mRNA sequence. (from Genbank)	AA046732_at
EST: zf48a10.r1 Soares retina N2b4HR Homo sapiens cDNA clone 380154 5' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	AA046737_at
Homo sapiens clone TUA8 Cri-du-chat region mRNA	AA046768_at
CCAAT/enhancer binding protein (C/EBP), delta	AA046840_at
EST: zf12b09.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 376697 5', mRNA sequence. (from Genbank)	AA046865_at
EST: zf47f09.r1 Soares retina N2b4HR Homo sapiens cDNA clone 380105 5', mRNA sequence. (from Genbank)	AA046908_at
EST: zf50d12.r1 Soares retina N2b4HR Homo sapiens cDNA clone 380375 5' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	AA047045_at
EST: zf50g10.r1 Soares retina N2b4HR Homo sapiens cDNA clone 380418 5', mRNA sequence. (from Genbank)	AA047055_at
EST: zk74f05.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 488577 5', mRNA sequence. (from Genbank)	AA047151_at
EST: zl65f10.r1 Stratagene colon (#937204) Homo sapiens cDNA clone 509515 5', mRNA sequence. (from Genbank)	AA047344_at
EST: zf49d06.r1 Soares retina N2b4HR Homo sapiens cDNA clone 380267 5', mRNA sequence. (from Genbank)	AA047791_at
EST: zl71a06.r1 Stratagene colon (#937204) Homo sapiens cDNA clone 510034 5', mRNA sequence. (from Genbank)	AA053052_at
EST: zl71h06.r1 Stratagene colon (#937204) Homo sapiens cDNA clone 510107 5', mRNA sequence. (from Genbank)	AA053096_at
Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	AA053831_at
EST: zf53d05.r1 Soares retina N2b4HR Homo sapiens cDNA clone 380649 5' similar to TR:G1199669 G1199669 PROTEIN KINASE C-BINDING PROTEIN BETA 15. ;, mRNA sequence. (from Genbank)	AA053840_at
EST: zf52d01.r1 Soares retina N2b4HR Homo sapiens cDNA clone 380545 5', mRNA sequence. (from Genbank)	AA053853_at
EST: zf50d08.r1 Soares retina N2b4HR Homo sapiens cDNA clone 380367 5' similar to TR:G951231 G951231 POLYBROMO 1 PROTEIN. ;, mRNA sequence. (from Genbank)	AA054095_at
EST: zf50f08.r1 Soares retina N2b4HR Homo sapiens cDNA clone 380391 5', mRNA sequence. (from Genbank)	AA054109_at
EST: zf50h06.r1 Soares retina N2b4HR Homo sapiens cDNA clone 380411 5', mRNA sequence. (from Genbank)	AA054120_at
EST: zf16g06.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 377146 5', mRNA sequence. (from Genbank)	AA055019_at
EST: zf17h06.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 377243 5', mRNA sequence. (from Genbank)	AA055247_at
Lysyl oxidase	AA055266_at
EST: zf20a04.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 377454 5', mRNA sequence. (from Genbank)	AA055361_at
Homo sapiens mRNA from chromosome 5q31-33 region	AA055916_s_at
EST: zf22b11.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 377661 5', mRNA sequence. (from Genbank)	AA056136_at
EST: zf55a11.r1 Soares retina N2b4HR Homo sapiens cDNA clone 380828 5', mRNA sequence. (from Genbank)	AA056140_at
EST: zk70c10.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 488178 5', mRNA sequence. (from Genbank)	AA056170_at
EST: zk70c11.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 488180 5', mRNA sequence. (from Genbank)	AA056171_at
Protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	AA056319_at
EST: ze24f10.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 359947 5' similar to contains element PTR5 repetitive element ;, mRNA sequence. (from Genbank)	AA056361_at
EST: zk80g05.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 489176 5', mRNA sequence. (from Genbank)	AA056681_at
Tumor suppressing subtransferable candidate 3	AA056958_at
EST: zk70e04.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 488190 5', mRNA sequence. (from Genbank)	AA057287_at
EST: zf56b01.r1 Soares retina N2b4HR Homo sapiens cDNA clone 380905 5' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	AA057447_s_at
EST: zf62a11.r1 Soares retina N2b4HR Homo sapiens cDNA clone 381500 5', mRNA sequence. (from Genbank)	AA057555_at
Sjogren syndrome antigen A2 (60kD, ribonucleoprotein autoantigen SS-A/Ro)	AA058376_at
EST: zk81h02.r1 Soares pregnant uterus NbHPU Homo sapiens cDNA clone 489267 5', mRNA sequence. (from Genbank)	AA058439_at
Homo sapiens mRNA for KIAA0461 perotein, partial cds	AA058759_at
EST: zf64g11.r1 Soares retina N2b4HR Homo sapiens cDNA clone 381764 5', mRNA sequence. (from Genbank)	AA059213_at
EST: zf65e02.r1 Soares retina N2b4HR Homo sapiens cDNA clone 381818 5', mRNA sequence. (from Genbank)	AA059287_s_at
EST: zf65e11.r1 Soares retina N2b4HR Homo sapiens cDNA clone 381836 5', mRNA sequence. (from Genbank)	AA059327_i_at
EST: zf65e11.r1 Soares retina N2b4HR Homo sapiens cDNA clone 381836 5', mRNA sequence. (from Genbank)	AA059327_r_at
EST: zf65e11.r1 Soares retina N2b4HR Homo sapiens cDNA clone 381836 5', mRNA sequence. (from Genbank)	AA059327_s_at
EST: zl96c05.r1 Stratagene corneal stroma (#937222) Homo sapiens cDNA clone 512456 5', mRNA sequence. (from Genbank)	AA059401_at
Homo sapiens clone 24655 mRNA sequence	AA059405_at
EST: zl95a03.r1 Stratagene corneal stroma (#937222) Homo sapiens cDNA clone 512332 5' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	AA059415_at
EST: zl96b08.r1 Stratagene corneal stroma (#937222) Homo sapiens cDNA clone 512439 5', mRNA sequence. (from Genbank)	AA059489_at
Homo sapiens mRNA for GNAS1 protein (IMAGE cDNA clone 359933 (827-k06))	AA062932_at
EST: e04501t Testis 5 Homo sapiens cDNA clone e04501 5' end, mRNA sequence. (from Genbank)	AA065252_at
Homo sapiens clone 23837 mRNA sequence	AA069500_at
EST: zm67b11.r1 Stratagene neuroepithelium (#937231) Homo sapiens cDNA clone 530685 5' similar to SW:ADTA_MUSSA P49431 SPERMIDINE/SPERMINE N1-ACETYLTRANSFERASE ;, mRNA sequence. (from Genbank)	AA070090_at
EST: zm68e02.r1 Stratagene neuroepithelium (#937231) Homo sapiens cDNA clone 530810 5', mRNA sequence. (from Genbank)	AA070326_at
Zm69a09.r1 Stratagene neuroepithelium (#937231) Homo sapiens cDNA clone 530872 5', mRNA sequence. (from Genbank)	AA070351_at
Zm70c03.r1 Stratagene neuroepithelium (#937231) Homo sapiens cDNA clone 530980 5', mRNA sequence. (from Genbank)	AA070545_at
Oxidase (cytochrome c) assembly 1-like	AA070671_at
EST: zm66c09.r1 Stratagene neuroepithelium (#937231) Homo sapiens cDNA clone 530608 5', mRNA sequence. (from Genbank)	AA071088_at
EST: zm66e11.r1 Stratagene neuroepithelium (#937231) Homo sapiens cDNA clone 530636 5' similar to SW:PA10_YEAST P48363 PAC10 PROTEIN. [1] ;, mRNA sequence. (from Genbank)	AA071106_f_at
EST: zf79f10.r1 Soares pineal gland N3HPG Homo sapiens cDNA clone 383179 5', mRNA sequence. (from Genbank)	AA071223_at
Zm73d01.r1 Stratagene neuroepithelium (#937231) Homo sapiens cDNA clone 531265 5', mRNA sequence. (from Genbank)	AA071256_at
Zm73f12.r1 Stratagene neuroepithelium (#937231) Homo sapiens cDNA clone 531311 5' similar to SW:CYB_MOUSE P00158 CYTOCHROME B ;, mRNA sequence. (from Genbank)	AA071311_at
EST: zm61d03.r1 Stratagene fibroblast (#937212) Homo sapiens cDNA clone 530117 5', mRNA sequence. (from Genbank)	AA071381_at
Homo sapiens hJTB mRNA, complete cds	AA071387_at
EST: zm15c08.r1 Stratagene pancreas (#937208) Homo sapiens cDNA clone 525710 5', mRNA sequence. (from Genbank)	AA074407_at
Zm85a05.r1 Stratagene ovarian cancer (#937219) Homo sapiens cDNA clone 544688 5' similar to SW:ANRE_MOUSE P15267 KIDNEY ANDROGEN-REGULATED PROTEIN PRECURSOR ;, mRNA sequence. (from Genbank)	AA074897_at
Zm85b07.r1 Stratagene ovarian cancer (#937219) Homo sapiens cDNA clone 544693 5' similar to gb:J04794 ALCOHOL DEHYDROGENASE (HUMAN);, mRNA sequence. (from Genbank)	AA074933_at
EST: zm86b03.r1 Stratagene ovarian cancer (#937219) Homo sapiens cDNA clone 544781 5', mRNA sequence. (from Genbank)	AA075214_at
Zm88d06.r1 Stratagene ovarian cancer (#937219) Homo sapiens cDNA clone 545003 5' similar to gb:L08441 CYTOCHROME C OXIDASE POLYPEPTIDE III (HUMAN);, mRNA sequence. (from Genbank)	AA075413_at
EST: zm87a05.r1 Stratagene ovarian cancer (#937219) Homo sapiens cDNA clone 544880 5', mRNA sequence. (from Genbank)	AA075427_at
EST: zm88c03.r1 Stratagene ovarian cancer (#937219) Homo sapiens cDNA clone 544996 5' similar to SW:NI2M_BOVIN Q02369 NADH-UBIQUINONE OXIDOREDUCTASE B22 SUBUNIT ;, mRNA sequence. (from Genbank)	AA075599_at
Zm89g06.r1 Stratagene ovarian cancer (#937219) Homo sapiens cDNA clone 545146 5' similar to SW:NU4M_MOUSE P03911 NADH-UBIQUINONE OXIDOREDUCTASE CHAIN 4 ;, mRNA sequence. (from Genbank)	AA075779_s_at
Zm74b02.r1 Stratagene neuroepithelium (#937231) Homo sapiens cDNA clone 531339 5', mRNA sequence. (from Genbank)	AA075823_at
EST: zm75a10.r1 Stratagene neuroepithelium (#937231) Homo sapiens cDNA clone 531450 5' similar to SW:RL39_RAT P02404 60S RIBOSOMAL PROTEIN L39. ;, mRNA sequence. (from Genbank)	AA075869_at
EST: zm75h04.r1 Stratagene neuroepithelium (#937231) Homo sapiens cDNA clone 531511 5', mRNA sequence. (from Genbank)	AA075989_at
Zm89b09.r1 Stratagene ovarian cancer (#937219) Homo sapiens cDNA clone 545081 5' similar to gb:M15887 ACYL-COA-BINDING PROTEIN (HUMAN);, mRNA sequence. (from Genbank)	AA075998_at
Zm89c09.r1 Stratagene ovarian cancer (#937219) Homo sapiens cDNA clone 545104 5', mRNA sequence. (from Genbank)	AA076003_at
EST: zm90a07.r1 Stratagene ovarian cancer (#937219) Homo sapiens cDNA clone 545172 5', mRNA sequence. (from Genbank)	AA076145_at
Homo sapiens clone 24775 mRNA sequence	AA076498_at
EST: zm92d02.r1 Stratagene ovarian cancer (#937219) Homo sapiens cDNA clone 545379 5', mRNA sequence. (from Genbank)	AA078862_s_at
Zm94c04.r1 Stratagene colon HT29 (#937221) Homo sapiens cDNA clone 545574 5', mRNA sequence. (from Genbank)	AA078906_at
Regulator of G-protein signalling 5	AA081209_at
Zn23d05.r1 Stratagene neuroepithelium NT2RAMI 937234 Homo sapiens cDNA clone 548265 5', mRNA sequence. (from Genbank)	AA081876_at
Zn26d06.r1 Stratagene neuroepithelium NT2RAMI 937234 Homo sapiens cDNA clone 548555 5', mRNA sequence. (from Genbank)	AA081995_at
EST: zn35d10.r1 Stratagene endothelial cell 937223 Homo sapiens cDNA clone 549427 5', mRNA sequence. (from Genbank)	AA082023_at
EST: zn42g07.r1 Stratagene endothelial cell 937223 Homo sapiens cDNA clone 550140 5', mRNA sequence. (from Genbank)	AA082171_at
EST: zn26d12.r1 Stratagene neuroepithelium NT2RAMI 937234 Homo sapiens cDNA clone 548567 5', mRNA sequence. (from Genbank)	AA082193_at
EST: ze88h10.r1 Soares fetal heart NbHH19W Homo sapiens cDNA clone 366115 5', mRNA sequence. (from Genbank)	AA082546_at
Zn24b11.r1 Stratagene neuroepithelium NT2RAMI 937234 Homo sapiens cDNA clone 548349 5', mRNA sequence. (from Genbank)	AA082561_s_at
ADP-ribosylation factor 1	AA082668_at
Zn25e04.r1 Stratagene neuroepithelium NT2RAMI 937234 Homo sapiens cDNA clone 548478 5', mRNA sequence. (from Genbank)	AA082824_at
EST: zn07f11.r1 Stratagene hNT neuron (#937233) Homo sapiens cDNA clone 546765 5' similar to SW:RBB1_HUMAN P29374 RETINOBLASTOMA BINDING PROTEIN 1 ;, mRNA sequence. (from Genbank)	AA082926_at
Zn09f08.r1 Stratagene hNT neuron (#937233) Homo sapiens cDNA clone 546951 5' similar to contains element TAR1 repetitive element ;, mRNA sequence. (from Genbank)	AA083332_at
EST: zn31d10.r1 Stratagene endothelial cell 937223 Homo sapiens cDNA clone 549043 5', mRNA sequence. (from Genbank)	AA083339_at
V-ral simian leukemia viral oncogene homolog A (ras related)	AA083572_at
Zm63c02.r1 Stratagene fibroblast (#937212) Homo sapiens cDNA clone 530306 5' similar to gb:X15822 CYTOCHROME C OXIDASE POLYPEPTIDE VIIA-LIVER PRECURSOR (HUMAN);, mRNA sequence. (from Genbank)	AA083797_s_at
Human Chromosome 16 BAC clone CIT987SK-A-589H1	AA084529_at
Zn13d08.r1 Stratagene hNT neuron (#937233) Homo sapiens cDNA clone 547311 5' similar to gb:S68287 CHLORDECONE REDUCTASE (HUMAN);, mRNA sequence. (from Genbank)	AA084854_at
Zn13e04.r1 Stratagene hNT neuron (#937233) Homo sapiens cDNA clone 547326 5' similar to gb:J02683 ADP,ATP CARRIER PROTEIN, FIBROBLAST ISOFORM (HUMAN);, mRNA sequence. (from Genbank)	AA084874_f_at
Golgi SNAP receptor complex member 2	AA084932_at
Zn11a09.r1 Stratagene hNT neuron (#937233) Homo sapiens cDNA clone 547096 5', mRNA sequence. (from Genbank)	AA085054_at
Zn14b01.r1 Stratagene hNT neuron (#937233) Homo sapiens cDNA clone 547369 5' similar to gb:M26880 UBIQUITIN (HUMAN);, mRNA sequence. (from Genbank)	AA085059_at
Zn01a07.r1 Stratagene colon HT29 (#937221) Homo sapiens cDNA clone 546132 5' similar to gb:M34539 FK506-BINDING PROTEIN (HUMAN);, mRNA sequence. (from Genbank)	AA085138_at
EST: zn12d03.r1 Stratagene hNT neuron (#937233) Homo sapiens cDNA clone 547205 5' similar to SW:ASF1_YEAST P32447 ANTI-SILENCING PROTEIN 1. ;, mRNA sequence. (from Genbank)	AA085232_at
Zn01g03.r1 Stratagene colon HT29 (#937221) Homo sapiens cDNA clone 546196 5' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	AA085354_at
Tropomyosin 4	AA085463_at
EST: zn44a10.r1 Stratagene HeLa cell s3 937216 Homo sapiens cDNA clone 550266 5' similar to WP:C16A3.3 CE04004 HUMAN ALPHA-FETOPROTEIN ENHANCER-BINDING PROTEIN ;, mRNA sequence. (from Genbank)	AA085476_at
EST: zn64d02.r1 Stratagene HeLa cell s3 937216 Homo sapiens cDNA clone 562947 5', mRNA sequence. (from Genbank)	AA085661_at
EST: zl83a10.r1 Stratagene colon (#937204) Homo sapiens cDNA clone 511194 5', mRNA sequence. (from Genbank)	AA085696_at
Human Tat-SF1 mRNA, complete cds	AA085789_at
Homo sapiens zinc finger protein (MBLL) mRNA, complete cds	AA086139_at
EST: zl89e09.r1 Stratagene colon (#937204) Homo sapiens cDNA clone 511816 5', mRNA sequence. (from Genbank)	AA088744_at
Homo sapiens mRNA, chromosome 1 specific transcript KIAA0488	AA089559_at
EST: chn0829.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA089688_at
Homo sapiens mRNA for KIAA0461 perotein, partial cds	AA089759_at
Homo sapiens antigen NY-CO-7 (NY-CO-7) mRNA, complete cds	AA089853_at
EST: chn2489.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA089997_at
EST: chn2332.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090041_at
EST: cchp0030.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090157_at
Superoxide dismutase 2, mitochondrial	AA090257_at
Karyopherin (importin) beta 2	AA090295_at
Diaphanous (Drosophila, homolog) 1	AA090434_at
GUANINE NUCLEOTIDE-BINDING PROTEIN BETA SUBUNIT-LIKE PROTEIN 12.3	AA090439_at
EST: y0502.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090472_at
EST: y0696.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090516_at
EST: y0994.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090608_at
EST: y1023.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090617_at
EST: y1032.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090622_at
EST: y1095.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090632_at
EST: y1211.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090660_at
BUB3 (budding uninhibited by benzimidazoles 3, yeast) homolog	AA090670_at
H.sapiens hGDS mRNA for smg GDS	AA090686_s_at
EST: y1297.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090687_at
EST: y1313.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090692_at
EST: y1365.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090695_at
EST: yy0416.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090778_at
EST: yy0444.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090842_at
EST: yy1079.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA090910_at
EST: yy1646.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA091017_at
Homo sapiens PAC clone DJ0905J08 from 7p12-p14	AA091085_at
EST: cchn1309.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA091099_at
EST: cchn2158.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA091231_at
EST: cchn2404.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA091278_at
EST: cchn2417.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA091284_at
Phosphatidylinositol glycan, class F	AA091296_at
EST: ll1247.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA091367_at
EST: ll1442.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA091385_at
Homo sapiens mRNA containing (CAG)4 repeat, clone CZ-CAG-7	AA091412_s_at
Homo sapiens CAGH1a (CAGH1) mRNA, partial cds	AA091467_s_at
Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	AA091605_at
M1637.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA091737_at
Homo sapiens histone H2A.F/Z variant (H2AV) mRNA, complete cds	AA091752_at
EST: m1701.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA091772_at
Dynamin-like protein	AA091932_at
EST: ll4132.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA092040_at
EST: ll4505.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA092129_f_at
Dihydropyrimidinase-like 3	AA092146_at
EST: ll4608.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA092175_at
EST: ll6255.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA092182_at
Peroxisome biogenesis factor 10	AA092192_at
EST: ll4760.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA092215_at
Secreted frizzled-related  protein 1	AA092261_at
EST: ll6470.seq.F Fetal heart, Lambda ZAP Express Homo sapiens cDNA 5', mRNA sequence. (from Genbank)	AA092290_f_at
